iter:  7000.0 , lambda:  1 , alpha:  0.5 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [9.42248229e-06 6.02018547e-06 7.68290319e-06 ... 3.67490223e-07
 9.84391363e-06 6.48007430e-06]
loss:  1107.4576403217186
loss:  1016.9644734746305
loss:  997.1561053044501
loss:  1083.1908903254566
loss:  1008.8338516520571
loss:  1071.5251439084486
loss:  1062.1667599686534
loss:  997.5796826032466
loss:  1079.6492656301975
loss:  998.9548417212847
loss:  1072.3445363694518
loss:  1012.2779291939759
loss:  1061.1317906228674
loss:  1072.157944342935
loss:  1064.1205195178582
loss:  1078.8646591714223
loss:  1007.1427277077808
loss:  1048.5119399536827
loss:  1070.0254148370716
loss:  1062.0941142613833
loss:  1074.0086379143365
loss:  1066.2349982523242
loss:  1045.3154792537434
loss:  998.119442767493
loss:  999.6883336108035
loss:  1073.9814198458707
loss:  1011.7222975983988
loss:  1002.9961599985197
loss:  1080.1737671759724
loss:  998.4322138231067
loss:  1078.789416003672
loss:  1003.1723123082481
loss:  1078.4089402390657
loss:  1007.3133942733981
loss:  1079.1201042164396
loss:  1071.465715897747
loss:  1016.3278046991292
loss:  1083.448166863239
loss:  1063.1424204290338
loss:  1077.1219361493888
loss:  1066.382259558745
loss:  1072.5540465262663
loss:  1063.7694739744095
loss:  1080.3493507778232
loss:  1068.1148288894117
loss:  1078.3341950567362
loss:  1078.227544681969
loss:  1077.0661607709749
loss:  1077.971487193634
loss:  1010.4069588820701
loss:  1054.8389886985174
loss:  1060.378139384763
loss:  996.938208561028
loss:  1080.3992859508664
loss:  998.8524232024988
loss:  999.9455489604169
loss:  1075.6652773261897
loss:  1071.3697333470607
loss:  1001.4555612586786
loss:  1066.8983509306352
loss:  1065.0989075281245
loss:  1007.1322933845865
loss:  1077.8801023438189
loss:  1071.216216590561
loss:  1069.8808833843857
loss:  1069.8481901554242
loss:  998.5885524927629
loss:  1078.9271696282103
loss:  1077.5375428923064
loss:  1001.1255795018857
loss:  995.9516053542898
loss:  980.1976293337334
loss:  998.0832009926154
loss:  946.0465586332136
loss:  958.6585003825335
loss:  968.5095026441081
loss:  922.5387015624385
loss:  990.0300713082063
loss:  921.3545995017822
loss:  903.1745954091901
loss:  916.1759045499717
loss:  910.9443409341867
loss:  954.0773904927515
loss:  973.7257551721093
loss:  880.1548268671943
loss:  990.6778209089856
loss:  961.8976653599007
loss:  879.9533337547224
loss:  881.7734232283557
loss:  948.4298940935213
loss:  879.7734808606533
loss:  984.9581529081269
loss:  923.7829148099
loss:  854.6887837840328
loss:  915.0461451777275
loss:  874.375823018533
loss:  835.0618658730109
loss:  832.536174135361
loss:  841.9527170469864
loss:  886.9747258878407
loss:  923.2394115371541
loss:  834.2272988585262
loss:  832.1983260394477
loss:  934.3534990476217
loss:  922.1515420304423
loss:  883.3257388534774
loss:  808.0489331799025
loss:  779.2936864218659
loss:  864.9562786587039
loss:  874.0002962207461
loss:  853.9089796606214
loss:  896.211120261453
loss:  741.7398916856346
loss:  809.9505697771679
loss:  769.108154320373
loss:  758.610018205759
loss:  794.0638949736493
loss:  762.765934771402
loss:  732.1675316681418
loss:  843.9494024338193
loss:  731.5490038133831
loss:  800.7085223631716
loss:  808.4626962437346
loss:  815.9699881251998
loss:  842.8151394975756
loss:  837.5562900882721
loss:  827.894099438993
loss:  702.5303467458697
loss:  703.7073204262812
loss:  703.7000387430435
loss:  767.7886907559923
loss:  692.7513791684814
loss:  704.1488644936154
loss:  800.0957137397398
loss:  780.4733906837114
loss:  803.8182108772337
loss:  823.5701084218778
loss:  803.4312093259069
loss:  801.4679037507912
loss:  694.1056496513937
loss:  789.2372191283117
loss:  696.7401810368281
loss:  814.7327231524123
loss:  770.7074680894802
loss:  803.0399657789948
loss:  667.326331811187
loss:  691.7221064989218
loss:  635.9179926426551
loss:  698.2940296864377
loss:  746.2192417066092
loss:  736.1195324764877
loss:  695.8039239941218
loss:  661.0426368953484
loss:  648.0467071302998
loss:  726.8428125260648
loss:  720.8356218468374
loss:  728.9909211035467
loss:  635.8034450696917
loss:  618.1101848876148
loss:  619.6859276049759
loss:  700.7305570971148
loss:  695.0783079384769
loss:  647.5083348773761
loss:  666.9818476575196
loss:  670.0294193308872
loss:  611.6210095262552
loss:  592.0835843607334
loss:  590.5185627730631
loss:  592.4240989430557
loss:  684.9437788002475
loss:  706.2489713643101
loss:  696.1344499975038
loss:  675.8341729484571
loss:  693.4596430064639
loss:  577.8969191021225
loss:  589.3278722746694
loss:  601.5127934645316
loss:  578.5507335860863
loss:  566.1414632822368
loss:  689.9391312875188
loss:  644.6767441480092
loss:  636.3469022445304
loss:  565.5647473129384
loss:  642.8827367944261
loss:  672.035623795884
loss:  647.9663758925094
loss:  654.8590406108689
loss:  540.8780754503516
loss:  541.5274121638546
loss:  490.1168040375573
loss:  522.8575569839455
loss:  493.08794066693986
loss:  472.82823658684623
loss:  566.3721700268858
loss:  474.6227139764139
loss:  472.1161588350989
loss:  564.5737438539977
loss:  568.5127339349382
loss:  461.25254370146916
loss:  518.6945360630109
loss:  521.1490436258811
loss:  555.0568739962358
loss:  460.9222880588556
loss:  570.1495320990989
loss:  560.0539907457005
loss:  534.0705960045207
loss:  465.2861548363134
loss:  517.4965467449077
loss:  513.5487802330198
loss:  504.889905333828
