iter:  7000.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [6.22300636e-06 1.69693936e-06 6.47108542e-06 ... 1.37858120e-06
 6.16715669e-06 5.39234585e-06]
loss:  -0.034768419325396656
loss:  -0.5170211600822958
loss:  -0.0043075810209587395
loss:  -0.04789326767379776
loss:  -2.016184127994265
loss:  -2.4636250912498445
loss:  -1.904964278105179
loss:  -2.9635216745829567
loss:  -2.5954443707010353
loss:  -3.463447712213429
loss:  -2.914254940893614
loss:  -4.955934279099555
loss:  -5.336113061562935
loss:  -5.017437320435045
loss:  -4.718772978341472
loss:  -4.902300627019823
loss:  -5.835629395846689
loss:  -5.305226355715774
loss:  -5.259837307521597
loss:  -5.209331386033713
loss:  -5.305129337781164
loss:  -5.724388359558128
loss:  -5.23970977910768
loss:  -6.335566128937749
loss:  -7.607928703633476
loss:  -8.010762846420217
loss:  -9.438323355490155
loss:  -9.919130969954349
loss:  -10.611288210506558
loss:  -11.11124604716961
loss:  -10.960576890755007
loss:  -12.003762225240482
loss:  -11.897565335065597
loss:  -13.12267035162811
loss:  -12.64806318571084
loss:  -12.63059030788689
loss:  -14.764742458823907
loss:  -15.447249435191722
loss:  -14.89753703724158
loss:  -15.209714296963522
loss:  -14.910072545074915
loss:  -14.935039151699
loss:  -15.225226321866147
loss:  -15.108827915074691
loss:  -14.914594249985967
loss:  -14.971094442354413
loss:  -14.994754254209372
loss:  -14.977342198421226
loss:  -14.988845661520005
loss:  -16.904391751320674
loss:  -17.589410541031363
loss:  -17.272397651426626
loss:  -18.089371136231236
loss:  -17.865488237076093
loss:  -18.589246561098783
loss:  -19.108664438709948
loss:  -19.014172960999556
loss:  -18.91851972377832
loss:  -20.315847080726307
loss:  -20.952874411567606
loss:  -20.6297913262273
loss:  -21.07725530350527
loss:  -20.827352632220496
loss:  -20.785416351387266
loss:  -20.762761742443903
loss:  -20.77776123209346
loss:  -21.577187846904092
loss:  -21.71986287922339
loss:  -20.598264396081888
loss:  -23.731082516106085
loss:  -24.711846244531902
loss:  -25.40862325792502
loss:  -26.79814460778964
loss:  -27.075169511597434
loss:  -28.577099596507413
loss:  -29.27621557310374
loss:  -28.594095712081344
loss:  -28.716085581270868
loss:  -29.778144855967255
loss:  -31.076536342784095
loss:  -31.698252787440858
loss:  -31.266894194065813
loss:  -32.817787301904175
loss:  -33.11239060152355
loss:  -34.0746633233432
loss:  -35.125085170536806
loss:  -34.8425071251908
loss:  -35.6250659899428
loss:  -35.32184886034938
loss:  -34.97083707903158
loss:  -36.02883670829963
loss:  -35.96689032428982
loss:  -35.19352693357647
loss:  -37.15517968195398
loss:  -37.22627745656012
loss:  -39.01866770745579
loss:  -39.18434446515464
loss:  -39.64478865249622
loss:  -41.26211530335114
loss:  -41.335698103310776
loss:  -40.972432816945
loss:  -41.12870937794112
loss:  -41.83570013245513
loss:  -41.77433025282459
loss:  -41.48327587529647
loss:  -40.89104233128073
loss:  -42.95161179026276
loss:  -42.941936301440066
loss:  -43.38471337987754
loss:  -43.03318929008093
loss:  -42.67639655576324
loss:  -43.72793382342827
loss:  -45.40052979038088
loss:  -46.61743321463572
loss:  -47.48687995971432
loss:  -47.12058794139987
loss:  -48.414124421830365
loss:  -49.28413469893698
loss:  -48.48231538475227
loss:  -49.326363708690934
loss:  -49.826298050529
loss:  -48.09864629063583
loss:  -48.21384814920684
loss:  -48.29794449315786
loss:  -48.83309405612522
loss:  -48.69854016268765
loss:  -48.63506651612202
loss:  -51.80867755552971
loss:  -51.08439240804714
loss:  -51.13505161639971
loss:  -52.86838066637738
loss:  -53.09335540126662
loss:  -52.67094933558256
loss:  -53.02620399921439
loss:  -52.972003570210845
loss:  -53.147452484726486
loss:  -52.79502579656896
loss:  -52.3420989503085
loss:  -52.13782785210888
loss:  -52.991640070227355
loss:  -51.83752878300641
loss:  -53.647322450571814
loss:  -53.1377230638121
loss:  -51.987967959443054
loss:  -52.68420698642565
loss:  -55.30520198462442
loss:  -54.553396378520134
loss:  -53.84156931541054
loss:  -54.223625284275485
loss:  -55.032189923558164
loss:  -54.7703480624065
loss:  -53.99548215918138
loss:  -53.811006613219135
loss:  -54.41673003567304
loss:  -54.56567153832455
loss:  -54.430668217944046
loss:  -55.49672620333223
loss:  -55.99672125972573
loss:  -58.50634753822585
loss:  -58.01205658888749
loss:  -59.96611498190875
loss:  -60.23221878530256
loss:  -61.87464480974306
loss:  -61.621019057487246
loss:  -63.011086046491286
loss:  -62.18430917891904
loss:  -64.40105900016765
loss:  -64.60092320669625
loss:  -64.3028408238292
loss:  -64.15290273533545
loss:  -64.55103720974905
loss:  -64.6771655246193
loss:  -63.280205407904276
loss:  -63.50821399708742
loss:  -67.043437574106
loss:  -66.62371975132993
loss:  -66.8536537412709
loss:  -67.54341084332776
loss:  -66.82089846464642
loss:  -67.78375978570308
loss:  -66.28605671906608
loss:  -66.19735473016611
loss:  -68.0961080189092
loss:  -66.5549001635703
loss:  -67.0417569519828
loss:  -67.32979831782937
loss:  -66.72032209517202
loss:  -70.08851358747395
loss:  -69.61124764940045
loss:  -68.96297323233166
loss:  -69.04401181502796
loss:  -71.30154052268121
loss:  -71.14838195673107
loss:  -71.30306147774972
loss:  -71.80299348865547
loss:  -71.24992922803142
loss:  -70.84626633588618
loss:  -70.98985574276033
loss:  -73.31317023938966
loss:  -73.503970035685
loss:  -73.11876326569333
loss:  -73.47416015552315
loss:  -73.96477151092927
loss:  -74.33128192002599
loss:  -73.53498031408517
loss:  -72.94808180927055
loss:  -76.40375572019457
loss:  -75.70630216377613
