screpancy/test_adult_data.py
Looking for file 'adult.data' in the current directory...
File found in current directory..
Looking for file 'adult.test' in the current directory...
File found in current directory..
Loading only 10000 examples from the data
Total data points: 10000
# non-protected examples: 6754
# protected examples: 3246
Non-protected in positive class: 2080 (31%)
Protected in positive class: 372 (11%)
P-rule is: 37%
iter:  1000   lambda:  1   alpha:  0.5   kernel: rbf, method:  cobyla, catol: 0.1
x_init:  [6.22300636e-05 1.69693936e-05 6.47108542e-05 ... 1.37858120e-05
 6.16715669e-05 5.39234585e-05]
loss:  912.3253791812243
loss:  912.0757160700495
loss:  911.8257589745838
loss:  911.5761740423923
loss:  911.3261974561689
loss:  911.0762971923068
loss:  910.826376755478
loss:  910.5764198625366
loss:  910.3256501482937
loss:  910.0756836625292
loss:  909.8256479507766
loss:  909.575651724307
loss:  909.3257393092392
loss:  909.0757806736049
loss:  908.8258801832293
loss:  908.6177041742609
loss:  908.3677639993937
loss:  908.1178172595437
loss:  907.8678718074186
loss:  907.6234614699543
loss:  907.373512821293
loss:  907.1235315098417
loss:  906.8735566304151
loss:  906.623602246173
loss:  906.3737457430977
loss:  906.1246196130245
loss:  905.8907035502541
loss:  905.6410256317969
loss:  905.4733265528386
loss:  905.2270495090047
loss:  904.979161791731
loss:  904.7291784478257
loss:  904.479224216647
loss:  904.2705387437767
loss:  904.0205738165965
loss:  903.7706141741335
loss:  903.5206372535774
loss:  903.2892614119771
loss:  903.0392722114142
loss:  902.790603852816
loss:  902.5406295211288
loss:  902.2907836763629
loss:  902.0560198609968
loss:  901.8060397692525
loss:  901.5559848148788
loss:  901.3060085980812
loss:  901.0560315540653
loss:  900.8060752491339
loss:  900.5562080519708
loss:  900.306242150002
loss:  900.0655623707623
loss:  899.8156677822386
loss:  899.567179652754
loss:  899.3205773059918
loss:  899.0705894503161
loss:  898.8206099996466
loss:  898.5706252942872
loss:  898.3262149501649
loss:  898.0809778751772
loss:  897.8310084518295
loss:  897.5810740696825
loss:  897.3310806790124
loss:  897.0811140570642
loss:  896.8311236337752
loss:  896.6224737825985
loss:  896.3725087431112
loss:  896.1225209005833
loss:  895.8725010100294
loss:  895.6636784481525
loss:  895.4191384817896
loss:  895.169407250407
loss:  894.922828377578
loss:  894.6730905144473
loss:  894.4231116291404
loss:  894.1862924627992
loss:  893.9363302567264
loss:  893.6863399748858
loss:  893.4167532939371
loss:  893.1667831207108
loss:  892.9168296056308
loss:  892.6661262647358
loss:  892.4161628698309
loss:  892.1646223034091
loss:  891.914628877391
loss:  891.6889920090755
loss:  891.4397611282532
loss:  891.1898124060906
loss:  890.939814839131
loss:  890.6905351491956
loss:  890.4432204991128
loss:  890.2651225250881
loss:  890.1177025253384
loss:  889.8049909112516
loss:  889.550006578347
loss:  889.2944739214901
loss:  889.0570563076685
loss:  888.8085596210074
loss:  888.5585880214771
loss:  888.3328466644691
loss:  888.08670123665
loss:  887.8367937411308
loss:  887.5881395244145
loss:  887.3637591165377
loss:  887.1137599805613
loss:  886.8638017758327
loss:  886.6284366077618
loss:  886.3839818520697
loss:  886.1340289408507
loss:  885.8374977713138
loss:  885.587542590252
loss:  885.3375811963498
loss:  885.0892856222902
loss:  884.8393243401325
loss:  884.6142944275756
loss:  884.3643169042421
loss:  884.114359874039
loss:  883.8754324321201
loss:  883.6275052510749
loss:  883.3778019496648
loss:  883.1746936992926
loss:  882.9247489558467
loss:  882.6749234246565
loss:  882.4249467953953
loss:  882.1749772515492
loss:  881.925182116015
loss:  881.6628003476342
loss:  881.4128061547678
loss:  881.2332246090783
loss:  880.9940023268662
loss:  880.7440484259687
loss:  880.4951565455812
loss:  880.2475816357249
loss:  880.1127534989492
loss:  879.8627819118743
loss:  879.6128225092725
loss:  879.3628346756182
loss:  879.1110340000441
loss:  878.8610474784535
loss:  878.6110628240389
loss:  878.3660922676231
loss:  878.1714272051266
loss:  877.8910020782486
loss:  877.6440290914895
loss:  877.4234210184381
loss:  877.1734387076431
loss:  876.9338660245362
loss:  876.6840523847363
loss:  876.435727888458
loss:  876.1859245642047
loss:  875.9545052197496
loss:  875.7045473715815
loss:  875.4524687328468
loss:  875.2024982798165
loss:  875.0223122733026
loss:  874.7723300358579
loss:  874.5223534461503
loss:  874.27250216954
loss:  874.0227243193405
loss:  873.7835590675361
loss:  873.5335897562416
loss:  873.3596596425664
loss:  873.1488408635462
loss:  872.3166071594737
loss:  872.0910668226476
loss:  871.8432633021703
loss:  871.5960489800406
loss:  871.3612330570389
loss:  871.1112534624203
loss:  870.9073852149535
loss:  870.6594827106843
loss:  870.4246535502751
loss:  870.1811474256435
loss:  869.9785805940254
loss:  869.7286076931038
loss:  869.4374188980503
loss:  869.2350437756828
loss:  868.9850447524605
loss:  868.7205405923437
loss:  868.4841290531042
loss:  868.2056939556664
loss:  868.0656522551214
loss:  867.906989425204
loss:  867.8729080366709
loss:  867.6230287830482
loss:  867.5438386453186
loss:  867.2938756547136
loss:  867.0590607933856
loss:  866.8640313316423
loss:  866.5986491134189
loss:  866.3669922960026
loss:  866.1720274810398
loss:  866.2286093251253
loss:  866.0548096230087
loss:  865.8048378980245
loss:  865.565084837875
loss:  865.419692417524
loss:  865.1960137261752
loss:  864.9460242244782
loss:  864.696178963963
loss:  864.77402000835
loss:  864.4720675138266
loss:  864.2221168915264
loss:  864.1378368768719
loss:  863.9220102646422
loss:  863.6871703284273
loss:  863.4072718378438
loss:  863.4887136833943
loss:  863.1588906429927
loss:  862.9089225466159
loss:  862.7242739121739
loss:  862.4742903671242
loss:  862.2243704556598
