iter:  7000.0 , lambda:  1 , alpha:  1.0 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [1.75599818e-06 8.31058108e-06 9.03605041e-06 ... 3.85431656e-07
 6.23939451e-06 4.01044027e-06]
loss:  4935610.531744906
loss:  4131926.7256197054
loss:  3821225.806528893
loss:  4313456.999169254
loss:  4163134.1026459173
loss:  4224141.163826696
loss:  4463125.601023064
loss:  4397870.644942543
loss:  3891077.974564427
loss:  3830699.7314968742
loss:  4399767.444703406
loss:  3828435.8326031994
loss:  4436993.447511675
loss:  4204468.433362249
loss:  4108433.655415323
loss:  4304531.493084259
loss:  3964599.3378686253
loss:  4455458.925003856
loss:  4453981.952996231
loss:  4411034.1275017755
loss:  4326102.887699262
loss:  4399018.87339407
loss:  3842330.542565141
loss:  3819594.7460680115
loss:  4373623.234758494
loss:  4444897.372405937
loss:  3901455.0295417104
loss:  4306783.687123733
loss:  3890513.4977207407
loss:  4451547.73627435
loss:  4180798.1837419975
loss:  4315174.221091632
loss:  4348647.26720535
loss:  4218137.88588294
loss:  4313743.458274891
loss:  3892546.878864697
loss:  3826555.6807360547
loss:  4228896.824188792
loss:  3820235.7872034265
loss:  4380760.323320171
loss:  3885090.823490568
loss:  4405774.043842425
loss:  4102672.6302912612
loss:  4264357.380799919
loss:  4490340.086560336
loss:  4462563.315119408
loss:  4364894.117675145
loss:  4235716.765385853
loss:  4365420.4223622065
loss:  4088152.6459191823
loss:  4324713.900809508
loss:  4389622.824995735
loss:  4334011.382104278
loss:  4450870.1588709
loss:  4068322.6834158096
loss:  3803728.711323187
loss:  3829864.538779867
loss:  3600190.56456253
loss:  4193195.6488627726
loss:  4218576.167652766
loss:  3756707.9136245027
loss:  3641450.242688296
loss:  3602883.0447425237
loss:  4205035.33814367
loss:  4306623.896753566
loss:  3625045.2694456726
loss:  3600835.0403549555
loss:  4239161.098726719
loss:  4245185.734053821
loss:  4275275.347369873
loss:  4139317.4204323236
loss:  4250767.923722701
loss:  3972337.599538851
loss:  4292013.020346907
loss:  4113603.8622314413
loss:  4165288.456676207
loss:  3631691.797392583
loss:  3790876.9209365747
loss:  4348151.551632546
loss:  4148394.973692272
loss:  4292096.606042797
loss:  4226618.300248475
loss:  3701962.415030589
loss:  3674934.398164109
loss:  4282956.234491488
loss:  4262258.39580948
loss:  3606524.221091944
loss:  4335755.369976085
loss:  4231646.159937633
loss:  4185701.4451530008
loss:  4069971.393135262
loss:  4278581.127349965
loss:  3649048.1079912134
loss:  3767152.046228098
loss:  4353866.535147441
loss:  3702099.1018952252
loss:  4114298.0185793573
loss:  4271600.877259419
loss:  4201641.633095046
loss:  4214988.2220924245
loss:  4187488.617732643
loss:  3938524.6476592324
loss:  4216450.660073346
loss:  3464915.98619566
loss:  3196555.93895248
loss:  3863416.150235948
loss:  3375927.1377835483
loss:  3793958.8833650453
loss:  3927154.3766788878
loss:  3934281.0673091547
loss:  3633552.383734851
loss:  3770325.485993413
loss:  3271567.7574804747
loss:  3684178.342769516
loss:  3641638.1389077706
loss:  3905781.383535966
loss:  3803780.1444712356
loss:  3771278.4875285756
loss:  3620161.519069394
loss:  3912225.66874909
loss:  3581498.4101343555
loss:  3541918.3615796645
loss:  3799224.8927695593
loss:  3219045.684945624
loss:  3331867.6432028934
loss:  3957233.110960064
loss:  3971812.2113330825
loss:  3863187.178355642
loss:  3712374.7714548428
loss:  3795583.2213791055
loss:  3620489.9408572656
loss:  3461868.4720846275
loss:  3474752.816200804
loss:  3577784.169849068
loss:  4014633.0418721274
loss:  3285663.777115356
loss:  3863818.0891296435
loss:  3895205.4917957066
loss:  3293624.0751804938
loss:  3735081.369937832
loss:  3646892.0649024295
loss:  3208102.5001560613
loss:  3581775.9738338413
loss:  3770779.240837477
loss:  3818111.3879604284
loss:  3617597.7239298555
loss:  3840182.3795767305
loss:  3574522.8581478074
loss:  3824724.096886612
loss:  3937566.555924765
loss:  3658478.54455423
loss:  3369409.0749516687
loss:  3915252.007718616
loss:  3738476.2383984616
loss:  3211243.391354241
loss:  3982581.2043925026
loss:  3684987.99537736
loss:  3635545.3811572506
loss:  3724399.4758192156
loss:  4029658.178928104
loss:  3580668.103631188
loss:  3804332.3150065723
loss:  3954433.270310227
loss:  3474599.1237865607
loss:  3378235.71543433
loss:  3835308.042446023
loss:  3741134.817281223
loss:  3240468.2087402884
loss:  3770701.5615233527
loss:  3515630.679447304
loss:  3333060.877400101
loss:  3878360.1979457308
loss:  3698330.242127248
loss:  3970381.321138174
loss:  3331535.5349109094
loss:  3770225.4876341093
loss:  2982226.7203739
loss:  2885959.9379857816
loss:  3383026.296810934
loss:  2844008.6185169932
loss:  2791591.4244446377
loss:  2976064.9396047085
loss:  3170790.5285519934
loss:  3624146.955453246
loss:  2975782.5296787755
loss:  3523918.2732945825
loss:  3267174.9199003326
loss:  3306939.772055085
loss:  2764200.7199641108
loss:  2498201.182302741
loss:  2953929.030812843
loss:  2886138.196348538
loss:  2912948.4824606283
loss:  2935151.6539629204
loss:  2659902.04253327
loss:  2318774.391659997
loss:  2281635.24119803
loss:  2275498.3788687764
loss:  2922762.3811057485
loss:  2672024.930132522
loss:  2620108.7608158975
loss:  3030484.1353040272
loss:  2632171.6356667564
loss:  2750364.287730283
loss:  2431161.3437251113
loss:  2253656.49131397
loss:  1888931.094811782
loss:  2394450.2249967586
loss:  2301470.0328535046
loss:  2145558.4092786065
loss:  2131684.062188455
loss:  2216227.637914668
loss:  2025528.3543849343
loss:  1913145.856242484
loss:  2415550.1379966675
loss:  2255068.2657303168
loss:  2405636.1392569533
loss:  2086807.5377465624
loss:  1893819.6848870022
loss:  2455663.175098309
loss:  1887784.4882163855
loss:  1895383.1854960737
loss:  1937673.5870517157
loss:  1954269.3476862924
loss:  1539495.1397643092
loss:  2072037.4323034848
loss:  1555775.6439599823
loss:  1913230.651427057
loss:  2154508.4519226444
loss:  1821094.199942217
loss:  2070714.6089126966
loss:  2080647.9002885073
loss:  1831555.1089608944
loss:  1537295.3559132393
loss:  1943018.9710780669
loss:  1988654.2696284591
loss:  1976541.223070432
loss:  1616065.6389518718
loss:  1130820.396768575
loss:  1290617.9390629807
loss:  1290713.8532356059
loss:  1489180.6574045278
loss:  1454391.7407892991
loss:  1400022.5681457885
loss:  1202955.2136737867
loss:  1213749.6735212135
loss:  1594955.6001021503
loss:  1237902.773502415
loss:  1478851.5856914143
loss:  1334807.3433185094
loss:  1470247.6167253007
loss:  1630395.09296536
loss:  1566396.169129737
loss:  1370035.0548533688
loss:  1240731.3483901054
loss:  1565252.3265841657
loss:  1161070.041829006
loss:  1185595.371977826
loss:  1466143.5285522803
loss:  1281421.1671848875
loss:  1412855.2730180514
loss:  1402197.206233267
loss:  1378052.480578629
loss:  1512441.2975252343
loss:  1478127.3201277684
loss:  1547758.6283204907
loss:  1229273.153023019
loss:  1131737.9986361647
loss:  1478191.2448913627
loss:  1151879.1278228275
loss:  1394501.3492928718
loss:  1436408.6539686553
loss:  1559875.6516617164
loss:  1535950.7744078396
loss:  1378068.1128905148
loss:  1384016.9005351474
loss:  1528587.0727934495
loss:  1161654.0553973173
loss:  1160572.5066512756
loss:  1409950.0713130026
loss:  1520451.471895667
loss:  1437672.6830359935
loss:  1243823.9212742234
loss:  1225718.2438719992
loss:  1462874.8507604657
loss:  1347914.4822663858
loss:  1300038.0392873865
loss:  1160110.8936064665
loss:  1383772.5092359239
loss:  1413756.474189606
loss:  1493917.6506360925
loss:  1205400.8993887329
loss:  1361653.8704429746
loss:  1433202.1269763112
loss:  1342444.1451841374
loss:  1424812.827876696
loss:  1132871.7637873183
loss:  1511367.0498764196
loss:  1224735.079494133
loss:  1343868.8400511385
loss:  1490527.22665986
loss:  1288895.922200211
loss:  1175292.5186842324
loss:  1142479.4276382623
loss:  1125313.9175369851
loss:  907979.2969645777
loss:  1185323.0254056607
loss:  1063306.4452232535
loss:  1206627.5987306728
loss:  935427.7764591102
loss:  1329770.215307666
loss:  1313370.522330671
loss:  978153.124910132
loss:  1190741.5732648473
loss:  1212936.276796725
loss:  1170443.3509448352
loss:  1054250.7585364475
loss:  1186023.290927638
loss:  1066655.275517625
loss:  909828.8266872611
loss:  1325814.7477661872
loss:  1024929.9175146301
loss:  1222536.9976581854
loss:  1308172.8603126262
loss:  1153526.109835621
loss:  1269882.4696065155
loss:  1108800.863245939
loss:  1204209.8665566207
loss:  1023302.7944517763
loss:  904131.2224994001
loss:  889353.3473681685
loss:  901026.9981187293
loss:  849797.9481942226
loss:  789839.8103224545
loss:  842974.9355881666
loss:  953105.7382641918
loss:  871822.3593656247
loss:  905779.2866762178
loss:  741180.8588185433
loss:  715477.6590132341
loss:  780864.3985594981
loss:  819361.0772839201
loss:  774797.8836653177
loss:  834482.6010029914
loss:  813412.0619819313
loss:  782246.2041034537
loss:  818101.8794967699
loss:  839409.0030583688
loss:  841093.8251209725
loss:  761671.2197762707
loss:  798223.4022964142
loss:  774077.3907188307
loss:  804413.9221763342
loss:  863797.338038115
loss:  798217.1812777896
loss:  779788.2138458779
loss:  818939.503662612
loss:  876142.7248280166
loss:  830334.054837797
loss:  836481.0768621373
loss:  887791.7592417755
loss:  844768.8883826799
loss:  699729.0657757531
loss:  703281.896999209
loss:  710832.3565146253
loss:  715688.7042359449
loss:  1035381.8045033326
loss:  725202.0802784743
loss:  1020261.9072595548
loss:  651763.0282601966
loss:  792892.7094357419
loss:  758300.4168958749
loss:  748316.2160436347
loss:  647982.4237099974
loss:  629557.5862826457
loss:  750905.4037243213
loss:  620311.8091531252
loss:  648891.48554182
loss:  630285.9510000726
loss:  577571.0629964126
loss:  710847.4193961543
loss:  643818.991315422
loss:  588069.397997999
loss:  640644.4567624774
loss:  580212.9954434329
loss:  707842.5393465854
loss:  698352.3975512863
loss:  663949.448994658
loss:  648317.1651646892
loss:  701616.3431263369
loss:  584234.166813399
loss:  632138.2074581515
loss:  637913.0669141327
loss:  647732.9279644366
loss:  656580.1058471884
loss:  581374.5199200112
loss:  596922.2631708899
loss:  636771.7148556783
loss:  661815.7639705773
loss:  701886.176431938
loss:  651217.9951371495
loss:  668649.4284880653
loss:  579293.3363551839
loss:  702841.8327038208
loss:  691744.2130195487
loss:  636871.4020116761
loss:  713986.5670076136
loss:  659932.5721374087
loss:  541975.5432002436
loss:  543691.1603982615
loss:  690349.4838713572
loss:  544685.4393530163
loss:  738285.0872273622
loss:  564703.8184000661
loss:  730621.7693278078
loss:  522784.31780058844
loss:  521702.3913822006
loss:  650884.6050912795
loss:  536895.4294929267
loss:  636692.2558714167
loss:  493770.4926283383
loss:  599907.0910120533
loss:  567693.9772486595
loss:  541965.4354656237
loss:  501210.35496111406
loss:  544996.455265119
loss:  588118.1908882123
loss:  574914.7854776253
loss:  550349.4257244002
loss:  602533.6066648953
loss:  500830.69756542775
loss:  582591.4299615731
loss:  508556.54872675333
loss:  571514.8346088039
loss:  567426.9120306846
loss:  511852.95468808815
loss:  596538.8458219857
loss:  569460.2381131747
loss:  587800.707505193
loss:  604871.7373531812
loss:  603803.3061168427
loss:  586577.6761149254
loss:  501121.55908728385
loss:  594899.8881233076
loss:  505062.8476206843
loss:  494101.4983429213
loss:  550944.8623870309
loss:  581484.2344529827
loss:  583279.0305211649
loss:  610081.6321898398
loss:  508535.21993002994
loss:  553696.9946124257
loss:  589334.5628022142
loss:  556594.8174602282
loss:  590976.6258966482
loss:  503519.76412408473
loss:  558018.2555048123
loss:  583615.7709593405
loss:  491134.44168306055
loss:  589272.8772369343
loss:  460979.38142952253
loss:  482923.2773339257
loss:  474884.42673325987
loss:  523591.3914479659
loss:  520412.72316149337
loss:  558802.6812342881
loss:  550815.7710887145
loss:  474188.36451100593
loss:  529237.4616112732
loss:  517962.97513015947
loss:  512768.03280324704
loss:  515226.5555342617
loss:  517119.9932607718
loss:  537347.7184013077
loss:  507718.04860179743
loss:  545691.5099945286
loss:  514535.86937754095
loss:  477711.70232142776
loss:  560054.5334348148
loss:  520307.18684822205
loss:  466263.8537531151
loss:  503538.0177396057
loss:  543020.8004647671
loss:  514395.85837584425
loss:  537301.4493589856
loss:  482125.1847647274
loss:  474627.938034866
loss:  468789.1815739121
loss:  521773.8883137035
loss:  463539.11467031273
loss:  516914.84849670716
loss:  536227.4660132844
loss:  477516.8555031589
loss:  463443.1660068999
loss:  509322.55284729315
loss:  459942.49500719615
loss:  522566.8181823458
loss:  459743.4749485985
loss:  528248.6102309284
loss:  475385.5507487742
loss:  500624.80195716344
loss:  536866.3293818833
loss:  549699.9966777402
loss:  460228.4815570842
loss:  518005.5828487489
loss:  514845.21791712893
loss:  544931.2152967277
loss:  513086.78097415547
loss:  507870.7372115916
loss:  481177.30932383373
loss:  459792.4844976058
