iter:  7000.0 , lambda:  1 , alpha:  0.5 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [6.19153627e-06 8.02731687e-06 1.07333612e-06 ... 7.11669698e-07
 8.22041961e-06 6.83782746e-06]
loss:  1233863.453393648
loss:  1032463.2921595069
loss:  955288.8485209186
loss:  1079901.894936744
loss:  1042266.2209525905
loss:  1057556.9394792465
loss:  1117032.7678536745
loss:  1100974.1700314244
loss:  970642.3322528672
loss:  957168.1229669952
loss:  1101415.77279093
loss:  956602.3513280313
loss:  1110662.3436776432
loss:  1052559.534687371
loss:  1028497.2163131323
loss:  1077671.464799735
loss:  988897.056025508
loss:  1115196.1694176919
loss:  1114577.2081483414
loss:  1104250.0119782505
loss:  1083040.1512050813
loss:  1101239.0504428938
loss:  960074.8500397174
loss:  954392.6690173522
loss:  1094387.7998887883
loss:  1112058.33390073
loss:  972723.120135505
loss:  1077705.0865708222
loss:  970009.0290264284
loss:  1113675.5373537582
loss:  1046131.625031961
loss:  1079379.3682137607
loss:  1088058.6669970616
loss:  1055542.820303925
loss:  1078870.9409337798
loss:  972131.1502008416
loss:  955643.6973065882
loss:  1058235.4426181875
loss:  952458.7982532467
loss:  904749.6083695639
loss:  921071.5334638605
loss:  1060076.7638061703
loss:  970713.5404710881
loss:  1019658.2981971202
loss:  1091891.387489572
loss:  1091437.9505299788
loss:  1047345.0856159244
loss:  1008168.6112423742
loss:  1047417.3425780705
loss:  967329.5247488266
loss:  1034434.770843743
loss:  1055120.6252317675
loss:  1037139.4726873857
loss:  1082755.7989701356
loss:  942070.7964124718
loss:  868107.1426989768
loss:  874002.9770176986
loss:  837425.0744321849
loss:  991279.7409802178
loss:  998928.5417376171
loss:  873638.5341726115
loss:  847333.0510513806
loss:  837960.5903961116
loss:  997777.5524465624
loss:  1031065.8165653256
loss:  819419.1289107418
loss:  821873.4303918724
loss:  818025.167859943
loss:  990264.9916158844
loss:  999344.7934146046
loss:  959188.239878278
loss:  992043.6835650112
loss:  913401.5278614339
loss:  1007071.9434837197
loss:  953219.2830086628
loss:  968451.1024706183
loss:  825504.199589386
loss:  834015.8501052491
loss:  1029876.8861158899
loss:  974912.0959591307
loss:  1005118.4598234621
loss:  984710.4402495851
loss:  810202.2941584883
loss:  803861.2440026806
loss:  843746.694103268
loss:  836370.4638925949
loss:  808760.3410775723
loss:  868023.7621565043
loss:  826549.8113786901
loss:  813029.7006623961
loss:  783270.0448872565
loss:  972359.1005467972
loss:  737634.216664338
loss:  888106.6659838277
loss:  814527.7477889135
loss:  868025.5005024661
loss:  724510.6171291203
loss:  918920.1442759336
loss:  881830.683365556
loss:  886287.8789702188
loss:  875310.3288977221
loss:  801188.5950437818
loss:  887316.559809764
loss:  632454.5082104825
loss:  606659.7122648405
loss:  776151.2689865048
loss:  650408.4558165593
loss:  755560.6531779636
loss:  795801.4139528064
loss:  795298.1041574256
loss:  712959.1126501489
loss:  749757.2273331418
loss:  630962.8225475777
loss:  726444.7985614483
loss:  715086.2499224633
loss:  794756.698980986
loss:  758957.7115696694
loss:  749383.1243368343
loss:  709743.8942444193
loss:  791082.8682857178
loss:  700410.6692812054
loss:  690201.0967422059
loss:  762223.1403114715
loss:  570815.9516679669
loss:  495267.4576729509
loss:  676093.0468609519
loss:  678053.5109604122
loss:  648289.1537686164
loss:  609461.0420113776
loss:  642109.798815066
loss:  587579.46104832
loss:  550497.0508950053
loss:  553440.9011571128
loss:  577647.0619185582
loss:  691252.7958588187
loss:  518761.64000187826
loss:  648377.5293120438
loss:  666740.1584759633
loss:  520508.7932739537
loss:  615056.3885380954
loss:  593675.8865564902
loss:  471692.3478670815
loss:  429275.7562750446
loss:  546406.4548123651
loss:  561017.9268951885
loss:  511248.77309540147
loss:  567198.0921466886
loss:  502004.0824152884
loss:  559463.180781919
loss:  590304.845924937
loss:  522748.2964306316
loss:  447858.26808909577
loss:  581972.1102528862
loss:  540431.9257891956
loss:  415810.0911687694
loss:  463799.15631582553
loss:  389861.27981640655
loss:  468200.71757328184
loss:  487187.4949696894
loss:  568673.3499420618
loss:  456853.60573121853
loss:  505272.91065455804
loss:  544628.4536793885
loss:  435710.6585072832
loss:  417442.8539627655
loss:  512719.5359917702
loss:  491626.1303197601
loss:  395964.1341074706
loss:  497699.12589385913
loss:  443738.5333038887
loss:  409748.7335675498
loss:  522868.4850122746
loss:  481723.9126038729
loss:  546886.7792224649
loss:  408263.47207926796
loss:  497460.7895196076
loss:  348056.514273497
loss:  331894.9970646252
loss:  419132.44951393927
loss:  323847.71162213874
loss:  314511.6212489841
loss:  346804.3224650328
loss:  379961.48762268905
loss:  467001.6754909959
loss:  346732.415419958
loss:  444932.52312270633
loss:  396935.9188274403
loss:  404213.41600276856
loss:  310326.58621576516
loss:  267073.39703063923
loss:  343043.88368842995
loss:  332097.0040847978
loss:  336414.48896854836
loss:  339895.3567784182
loss:  296228.3316365643
loss:  247283.93573454535
loss:  237069.40356354762
loss:  237232.25081169207
loss:  343338.5448152638
loss:  305787.0185516027
loss:  298000.53972957894
loss:  357161.40910830494
loss:  299818.86468064465
loss:  317521.4191729057
