iter:  7000.0 , lambda:  1 , alpha:  0.75 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [1.58421131e-07 8.46499331e-06 8.32054085e-06 ... 2.17477247e-06
 1.04969509e-06 6.60110882e-06]
loss:  2776265.2573796795
loss:  2323867.6700745784
loss:  2149385.327583112
loss:  2427390.9183062143
loss:  2342791.049522811
loss:  2377137.591462017
loss:  2511372.359858952
loss:  2474852.584830475
loss:  2187170.717477684
loss:  2154347.328138954
loss:  2475895.1784809497
loss:  2153075.125010204
loss:  2496791.641046987
loss:  2366012.190872572
loss:  2311951.606481048
loss:  2422370.868851332
loss:  2228435.996124317
loss:  2507118.341368509
loss:  2506104.7236236096
loss:  2482246.3370287586
loss:  2434487.860470032
loss:  2475481.8609037604
loss:  2160887.9803635855
loss:  2148101.8622039948
loss:  2460819.691811152
loss:  2500804.1338581475
loss:  2192622.628302655
loss:  2423241.2689119377
loss:  2186483.40997371
loss:  2504511.832681968
loss:  2352315.022848387
loss:  2427649.52158869
loss:  2446707.2432552367
loss:  2373376.1658800333
loss:  2426734.5649923016
loss:  2188757.574277614
loss:  2151651.3354716357
loss:  2379430.3399647856
loss:  2146964.3512722696
loss:  2038688.74639268
loss:  2076157.3888411461
loss:  2386119.98899082
loss:  2184815.6719639013
loss:  2295219.2892382275
loss:  2458246.7416988392
loss:  2457813.821315029
loss:  2357401.825547031
loss:  2269049.9907165347
loss:  2357552.4712147843
loss:  2177289.443069186
loss:  2328219.3620650712
loss:  2374909.8759639445
loss:  2334298.8540667305
loss:  2437859.0642826566
loss:  2126340.987806657
loss:  1959041.6049169078
loss:  1973028.769659851
loss:  1889075.0471142933
loss:  2233266.8797170166
loss:  2250665.522947384
loss:  1968232.8242767327
loss:  1912086.8398447651
loss:  1890425.6443486165
loss:  2248248.0793005675
loss:  2323934.9908544193
loss:  1851753.3357160538
loss:  1857968.9523842996
loss:  1847874.2959936264
loss:  2233894.382247356
loss:  2254523.6142114345
loss:  2163582.3607268734
loss:  2237949.594008563
loss:  2060156.1147441317
loss:  2272514.040209163
loss:  2150077.326967132
loss:  2184528.508747109
loss:  1865418.1609063274
loss:  1887608.9195698816
loss:  2324353.148460859
loss:  2200206.2508811974
loss:  2267734.1313431463
loss:  2221403.5698789693
loss:  1833600.999890083
loss:  1819961.35216065
loss:  1909459.9405630105
loss:  1892684.6961265658
loss:  1831695.0148424695
loss:  1964731.120657687
loss:  1870405.5390702453
loss:  1839735.9329567964
loss:  1772309.2533752501
loss:  2196984.761731426
loss:  1672285.1315713716
loss:  2014331.6219955503
loss:  1846141.38681691
loss:  1968684.4224375328
loss:  1641505.5798978994
loss:  2078992.2891229452
loss:  1994369.7128006115
loss:  2004476.3174290315
loss:  1979634.6272110266
loss:  1811764.15107017
loss:  2006823.2344144864
loss:  1435732.0031363994
loss:  1375990.7514337918
loss:  1756964.0416495218
loss:  1471885.948345832
loss:  1710131.5451727347
loss:  1801784.0349896632
loss:  1800512.8570451918
loss:  1613493.3051438164
loss:  1696955.1808794201
loss:  1430321.1680815606
loss:  1643987.5589216542
loss:  1618376.6817349587
loss:  1799796.0985689764
loss:  1717837.213390827
loss:  1696112.7611352839
loss:  1606118.569550609
loss:  1791011.9158184074
loss:  1585008.270706861
loss:  1561846.6208822015
loss:  1725586.9386405516
loss:  1297865.9847913866
loss:  1125201.3683013925
loss:  1533144.796026607
loss:  1537505.2261369105
loss:  1469573.3678575228
loss:  1381156.2685361141
loss:  1457452.3976730565
loss:  1331501.6639867949
loss:  1247298.3625464467
loss:  1253970.430357004
loss:  1308915.7006240585
loss:  1567792.3806955304
loss:  1178387.2980810925
loss:  1469756.5867712854
loss:  1513177.1188424805
loss:  1182328.65048576
loss:  1393876.293495692
loss:  1345303.650212384
loss:  1074105.140396061
loss:  976803.7867471415
loss:  1239922.2011054903
loss:  1273878.5234811243
loss:  1159884.0637502673
loss:  1287615.794588702
loss:  1138921.843941262
loss:  1269737.2342437292
loss:  1340254.3357604893
loss:  1186236.0005089173
loss:  1021661.0991863331
loss:  1321077.3426853833
loss:  1226419.9224822584
loss:  948367.9430044809
loss:  1058173.3665896393
loss:  888724.730790161
loss:  1063888.395581341
loss:  1107140.3079387862
loss:  1294665.912181133
loss:  1038035.3040471697
loss:  1148428.7570180383
