iter:  1000.0 , lambda:  1 , alpha:  0.1111111111111111 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [0.00053794 0.00075041 0.00039778 ... 0.00069204 0.00059413 0.00085051]
loss:  217.8796957570149
loss:  233.11872513095784
loss:  232.7862743953657
loss:  233.62572802509595
loss:  231.11705844585234
loss:  232.36829238963634
loss:  234.57952269103376
loss:  234.86700164067375
loss:  224.07076056681402
loss:  217.704554228589
loss:  234.39416976550586
loss:  217.59105529501133
loss:  233.97480151641642
loss:  230.56651599776754
loss:  228.9669530814385
loss:  232.68289754684733
loss:  224.75048175452864
loss:  233.92971172708516
loss:  233.0524135113106
loss:  234.22037565859367
loss:  233.18559133278995
loss:  233.72173882907066
loss:  217.72915315590345
loss:  217.1146362470759
loss:  232.94574915511046
loss:  233.36869109765965
loss:  223.38952622787514
loss:  232.16746656388904
loss:  223.23128796540735
loss:  233.30011323411483
loss:  229.7259488111698
loss:  230.20394053968084
loss:  232.01684136860845
loss:  230.94101684127395
loss:  229.624961778782
loss:  218.91216578940302
loss:  217.9866835253598
loss:  231.10161123010647
loss:  221.47060299049375
loss:  233.01700905562828
loss:  218.50291586133687
loss:  233.22241706754747
loss:  228.3629138308782
loss:  230.28848367428864
loss:  234.0996650710754
loss:  233.23468449131008
loss:  232.55929063491232
loss:  230.80966708700993
loss:  232.57217857259255
loss:  227.80919282562596
loss:  232.39067837470597
loss:  233.4405395733609
loss:  232.51320445259483
loss:  232.61738944102095
loss:  225.69119335798263
loss:  221.514538934412
loss:  217.1572858533059
loss:  232.04783096873234
loss:  233.1067922443379
loss:  233.63397261179153
loss:  226.15817199373055
loss:  217.7922934981139
loss:  217.2115243138468
loss:  232.08320040545013
loss:  232.32749578234052
loss:  223.04303732002342
loss:  216.88000353424977
loss:  232.5581702279217
loss:  232.57918172655363
loss:  232.61456379834954
loss:  231.3913140473147
loss:  232.5727816940999
loss:  229.657495575486
loss:  231.4398481117878
loss:  231.6240329426971
loss:  232.27845993569454
loss:  217.38018160138554
loss:  225.55515839584032
loss:  232.94229154657847
loss:  231.18625164780147
loss:  232.4175530917754
loss:  232.02227083625033
loss:  224.86630053862984
loss:  218.6749206683245
loss:  232.55967318776604
loss:  232.58882589369819
loss:  216.83749235106202
loss:  231.5202002016492
loss:  231.57441877763853
loss:  231.33486291202968
loss:  230.3777285735941
loss:  231.78847346491358
loss:  224.44705336659743
loss:  225.53693165319586
loss:  231.94213090941162
loss:  225.00007104111924
loss:  230.84712273367575
loss:  230.87063551589853
loss:  231.58324442278425
loss:  231.7132900159666
loss:  231.78857612064022
loss:  228.4535539264408
loss:  231.65873482785153
loss:  221.53405249761036
loss:  229.65190910702762
loss:  231.79503370333717
loss:  226.54499329147203
loss:  231.79097436732113
loss:  231.73639521337512
loss:  232.45690252241297
loss:  230.4990880098789
loss:  231.4182165519313
loss:  218.7298276412549
loss:  230.81748904498548
loss:  230.56434587263308
loss:  230.30528367264614
loss:  231.61186258848588
loss:  231.64317053276739
loss:  230.24707308105744
loss:  231.76840912688596
loss:  229.6604470508286
loss:  229.27450892423178
loss:  230.25413131556206
loss:  223.34111452126032
loss:  225.62271080264802
loss:  231.40021608958682
loss:  232.44798654329557
loss:  231.77604870724457
loss:  231.06445888553512
loss:  229.0963457638472
loss:  230.2286943302635
loss:  228.1554208185961
loss:  228.30451863319314
loss:  228.9663375359056
loss:  232.57651540084964
loss:  219.16933521922542
loss:  231.79147765267948
loss:  230.36681490225553
loss:  219.36371479350865
loss:  231.21694870682276
loss:  230.50337738600194
loss:  224.8009464086031
loss:  229.86095550897122
loss:  231.4427042454347
loss:  231.52893576210477
loss:  230.20578486047765
loss:  230.49787232012542
loss:  229.83035930587457
loss:  231.84924503098284
loss:  231.6315378121173
loss:  229.38322267859854
loss:  225.77827555397207
loss:  232.32574452708013
loss:  230.44201603548527
loss:  224.49398556409432
loss:  230.1538737288093
