iter:  700.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [1.75599818e-04 8.31058108e-04 9.03605041e-04 ... 3.85431656e-05
 6.23939451e-04 4.01044027e-04]
loss:  -1.867096523271769
loss:  -0.5770059288171381
loss:  -0.5881463400253772
loss:  -0.564178664996505
loss:  -0.6088742061160959
loss:  -0.6006042796135431
loss:  -0.6377808597719516
loss:  -0.5747987647184623
loss:  -4.072876467748691
loss:  -4.569029761843086
loss:  -4.218890615917671
loss:  -5.0681628039751985
loss:  -4.757590069028227
loss:  -4.673466881435445
loss:  -4.665071400218897
loss:  -4.664108932443213
loss:  -6.327942345406729
loss:  -7.056842998754803
loss:  -6.902576989140249
loss:  -6.697234386265253
loss:  -6.6597926831607825
loss:  -6.699827580163197
loss:  -7.547634853991802
loss:  -8.044181180333338
loss:  -7.671634392717345
loss:  -7.758326317678094
loss:  -9.258596764746056
loss:  -9.76143791884868
loss:  -10.868700870469887
loss:  -11.658227663964876
loss:  -11.114955499999294
loss:  -11.530903463798095
loss:  -11.289486670494849
loss:  -11.044257549151792
loss:  -11.662159074103776
loss:  -12.143047281960621
loss:  -11.754920666535282
loss:  -10.767957472714272
loss:  -14.148184029747629
loss:  -13.778580085102082
loss:  -14.608275486206423
loss:  -14.286525657396123
loss:  -14.004522142016185
loss:  -14.179305717117849
loss:  -14.560745353328873
loss:  -14.800899338255288
loss:  -13.587615924459431
loss:  -13.52547111973232
loss:  -13.586855775108543
loss:  -13.572101562239117
loss:  -13.541522920018664
loss:  -13.587897127773697
loss:  -13.542810380174444
loss:  -13.868368470556227
loss:  -16.971403239684804
loss:  -17.951528671947173
loss:  -18.445412116602032
loss:  -19.186867548398155
loss:  -18.914361858194795
loss:  -18.940789764047476
loss:  -18.688436703871577
loss:  -19.659151504610314
loss:  -19.634782836702662
loss:  -19.51625204357438
loss:  -19.768557574837047
loss:  -21.839012197097514
loss:  -22.33008453783349
loss:  -22.163069574427375
loss:  -22.162085808669147
loss:  -22.20576887649447
loss:  -22.059793507021304
loss:  -22.17533518506783
loss:  -21.961733136655887
loss:  -22.31862441063873
loss:  -22.063838450337673
loss:  -22.11275252927249
loss:  -23.375274616881775
loss:  -24.59754650756948
loss:  -25.638207977865093
loss:  -25.62495037034809
loss:  -25.617272225855046
loss:  -25.567553965212962
loss:  -26.701717399247162
loss:  -26.18828191856096
loss:  -27.65216864562405
loss:  -27.583319722961686
loss:  -28.15380318628846
loss:  -28.171721668581842
loss:  -27.134248655593023
loss:  -27.144627490051917
loss:  -27.182778265884856
loss:  -27.137533411568842
loss:  -30.200666944975552
loss:  -31.24471591200258
loss:  -32.18761388070176
loss:  -33.193924732316894
loss:  -34.2057148879174
loss:  -34.24843184023047
loss:  -33.31852950121766
loss:  -33.308411046528896
loss:  -33.37245548478362
loss:  -33.413897193392536
loss:  -33.30503882952058
loss:  -36.195389927148135
loss:  -36.18168976065211
loss:  -36.19960260008798
loss:  -35.271235592790106
loss:  -35.244343445187056
loss:  -35.21832721926423
loss:  -35.24235888019112
loss:  -35.30063204205472
loss:  -35.22336197461373
loss:  -35.687260008752126
loss:  -35.2314520208857
loss:  -35.32476668382353
loss:  -35.23137006384823
loss:  -35.20898447686285
loss:  -35.257261837893836
loss:  -35.252497532109004
loss:  -35.210288724088684
loss:  -35.25007038879343
loss:  -35.25621265920929
loss:  -35.19247925811291
loss:  -38.09368825169554
loss:  -38.003321136631875
loss:  -38.036515415367965
loss:  -38.122233677856876
loss:  -37.11585964054326
loss:  -37.18022953559605
loss:  -37.65497151668115
loss:  -37.23629803331818
loss:  -37.24808593292403
loss:  -37.23843633743309
loss:  -37.137449181999024
loss:  -37.209714559345926
loss:  -38.032585402647484
loss:  -37.110697577035126
loss:  -37.536449027668645
loss:  -38.011940224991044
loss:  -37.16256106242379
loss:  -37.211437714102054
loss:  -40.14116118629514
loss:  -40.20143564439598
loss:  -39.23146809574572
loss:  -39.46963668807395
loss:  -39.24359286621814
loss:  -39.23290656465295
loss:  -39.279121290521154
loss:  -39.26244156397905
loss:  -39.26612104869541
loss:  -39.201887158140785
loss:  -42.15870717815051
loss:  -42.20304496240121
loss:  -41.22360119953622
loss:  -44.14193644537912
loss:  -44.15824863382599
loss:  -43.47847905247423
loss:  -43.44508747707051
loss:  -43.350362432785175
loss:  -43.38666730321447
loss:  -43.44672079474811
loss:  -43.29287040941348
loss:  -43.198650719066535
loss:  -43.433809645825235
loss:  -43.419999402687324
loss:  -43.280060911429445
loss:  -43.293883133197355
loss:  -44.631619337683716
loss:  -43.80269697756117
loss:  -43.92265864019703
loss:  -43.88912574554573
loss:  -43.737710893374256
loss:  -43.85398328716482
loss:  -43.69738766223764
loss:  -46.471234210112286
loss:  -46.623628869977516
loss:  -48.402873250871366
loss:  -48.532568535109796
loss:  -47.662396638542134
loss:  -50.4347971314459
