iter:  1000.0 , lambda:  1 , alpha:  0.3333333333333333 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [2.17593215e-04 8.88313180e-05 9.22840769e-04 ... 7.53556074e-04
 7.07491409e-04 4.54883107e-05]
loss:  657.942765620251
loss:  702.297227155554
loss:  701.3215359884679
loss:  703.7909256491118
loss:  696.3510729289877
loss:  700.0931075741441
loss:  706.7499753614795
loss:  707.5295101537555
loss:  678.6643689731507
loss:  658.4116356705772
loss:  706.5858075490102
loss:  658.5510239560084
loss:  707.3341125996188
loss:  697.1279886531547
loss:  692.3817499227779
loss:  703.456535036927
loss:  681.850648412387
loss:  707.2296040223812
loss:  704.7140864479514
loss:  708.0906352412393
loss:  705.0115616400071
loss:  706.5592580165436
loss:  659.3676165119855
loss:  657.5007227593392
loss:  705.2172820861888
loss:  706.5230245339519
loss:  678.6780384121164
loss:  702.9000720908782
loss:  678.1835961604291
loss:  706.3353180072263
loss:  695.6017668497075
loss:  697.127952408457
loss:  702.4389303564644
loss:  699.2610787681327
loss:  695.4641319641147
loss:  664.0067859522136
loss:  658.0930892709112
loss:  699.7368210457431
loss:  672.8395942807626
loss:  705.4306661967354
loss:  662.6547225872591
loss:  706.0540306248649
loss:  691.5573823588518
loss:  697.2964609679884
loss:  708.8094953364014
loss:  706.4222238161376
loss:  704.0574862492517
loss:  698.8287653239432
loss:  704.0935065288115
loss:  689.9144385531406
loss:  703.5638992671081
loss:  706.7437758606203
loss:  703.9247311394956
loss:  704.377752384661
loss:  685.7749257012622
loss:  672.9331750220821
loss:  658.5665037609267
loss:  702.5358815140233
loss:  705.700717003365
loss:  707.3559713231912
loss:  685.0268355422536
loss:  660.5192056422743
loss:  657.7514610276594
loss:  702.6802469765462
loss:  703.538353978888
loss:  677.7093047777688
loss:  657.735672904199
loss:  706.3945399657068
loss:  706.4560509627526
loss:  706.5757914804702
loss:  702.8841022303905
loss:  706.4426010599458
loss:  697.6989968316198
loss:  703.1171515661074
loss:  703.5874256504711
loss:  705.5544338846983
loss:  660.0085184085393
loss:  685.6691358101248
loss:  707.6783057497179
loss:  702.4352531743721
loss:  706.0069729395727
loss:  704.7938266490667
loss:  683.5499202766824
loss:  663.8681311928466
loss:  706.4170939543535
loss:  706.4917575600947
loss:  658.3619900869409
loss:  705.654644585178
loss:  705.8318351236403
loss:  705.1135047444812
loss:  702.2338574646062
loss:  706.4731504115279
loss:  681.8023010737556
loss:  685.2298168612659
loss:  706.9221041018582
loss:  683.5555599674
loss:  703.6429309550044
loss:  703.7132990992467
loss:  705.857814239853
loss:  706.2479287588077
loss:  706.4672398036085
loss:  696.4532835002026
loss:  706.0845639663721
loss:  672.7442610125049
loss:  700.0473469461677
loss:  706.4933203704153
loss:  690.710996395554
loss:  706.4813984254761
loss:  706.3153072942495
loss:  708.4778756873767
loss:  702.591908049872
loss:  705.3637102251814
loss:  663.9965989843215
loss:  703.5522097607236
loss:  702.7822252738066
loss:  702.0080705901984
loss:  705.9429494596388
loss:  706.0372618212341
loss:  701.8381693542993
loss:  706.4126330314966
loss:  700.0831949625278
loss:  698.9196608704417
loss:  701.8653450008552
loss:  678.4336225842032
loss:  687.9292001499454
loss:  705.3028688402566
loss:  708.4525702908176
loss:  706.4389305108899
loss:  704.2974351753894
loss:  698.0947472684253
loss:  701.7884033765899
loss:  695.5565126250211
loss:  696.0055451156362
loss:  697.9966311160733
loss:  708.8247176467327
loss:  665.2183181855384
loss:  706.4840617179184
loss:  702.0279978542069
loss:  665.7865743107487
loss:  704.7562218565748
loss:  702.6114944692057
loss:  682.9259975623086
loss:  700.6791920659891
loss:  705.4345839939634
loss:  705.6461184764921
loss:  701.713615093747
loss:  702.5955195246667
loss:  700.5842465254556
loss:  706.6582367188998
loss:  705.9999614903641
loss:  699.2511101611057
loss:  685.9378883225071
loss:  708.0802186052315
loss:  702.4312908871165
loss:  682.0435785931476
loss:  701.5274942422647
loss:  704.0902057749989
loss:  702.5673600779668
loss:  704.5592452476315
loss:  702.5147729780639
loss:  700.6244358954534
loss:  705.9746296446767
loss:  705.5843533419065
loss:  696.0025519871065
loss:  690.5597343324432
loss:  706.3133209291528
loss:  703.9053221142972
loss:  660.8777551428535
loss:  705.4004393354965
loss:  698.0257572758028
loss:  686.6006907630975
loss:  707.0702144265056
loss:  703.8667279219966
loss:  707.2322986891743
loss:  685.5701573471755
loss:  705.4175494843528
loss:  670.4175336596599
loss:  704.5386937010323
loss:  703.6275035933035
loss:  683.7764766848524
loss:  705.3708209627197
loss:  691.1498050665523
loss:  700.616659116142
loss:  701.419907397137
loss:  691.1447382808296
loss:  706.1949401650603
loss:  703.3228901707525
loss:  704.158663029609
loss:  684.2775977903151
loss:  698.0932412919805
loss:  703.614242979758
loss:  701.8783550958954
loss:  702.6079421929069
loss:  702.8758379143655
loss:  691.7440642311748
loss:  678.1814224231049
loss:  705.4302049904029
loss:  658.0313474793185
loss:  706.422356208751
loss:  702.9619608584532
loss:  701.5139028548006
loss:  699.0405112271932
loss:  701.8451387223492
loss:  704.7602007982389
loss:  690.2876995594207
loss:  684.0283193231402
loss:  691.5555829785324
loss:  706.2754405576486
loss:  704.9239006878176
loss:  700.1806246924401
loss:  697.9251429383658
loss:  702.804725093784
loss:  685.6749373577077
loss:  663.6840575983304
loss:  706.4551724171768
loss:  703.6055814472886
loss:  706.3121277786228
loss:  685.954041311287
loss:  658.2833880105356
loss:  706.6237463317793
loss:  681.435464963214
loss:  694.0714510447257
loss:  660.0983447570723
loss:  705.5773109881834
loss:  695.5588517013241
loss:  706.3336898845732
loss:  678.8765893613303
loss:  704.0851363689819
loss:  703.2759682994484
loss:  702.6145181628635
loss:  705.8538345737234
loss:  706.3055113745258
loss:  702.968271993457
loss:  683.8977149815737
loss:  701.7950336507953
loss:  703.2708786260276
loss:  702.9568910348464
loss:  665.6792484691099
loss:  674.4805240474722
loss:  700.1785815873529
loss:  700.1762371190252
loss:  707.4393596418684
loss:  705.9487537934226
loss:  704.5238155395442
loss:  693.7364040865698
loss:  693.0672316488404
loss:  704.3759640351528
loss:  696.4488908105793
loss:  707.3951924049537
loss:  702.2418120908382
loss:  706.2085014818992
loss:  707.3603207867037
loss:  709.1597677372667
loss:  699.9851430697769
loss:  680.9928980110343
loss:  709.1227742134016
loss:  689.3497271528228
loss:  692.7271146774771
loss:  704.5156751934521
loss:  678.2632379851538
loss:  705.0054364223986
loss:  704.8586440497993
loss:  685.9002433016143
loss:  708.4619856437747
loss:  706.3070989501548
loss:  706.3156669562727
loss:  678.6616451408612
loss:  657.2137922084016
loss:  705.3564581075696
loss:  660.6072631565766
loss:  703.4883247241547
loss:  705.6021392703196
loss:  707.105903781321
