iter:  800.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [6.08172530e-04 8.24021498e-05 3.08983865e-04 ... 5.52140717e-04
 7.41262573e-04 8.85882443e-04]
loss:  -1.866886274296108
loss:  -0.5836815975905516
loss:  -0.5946421386545446
loss:  -0.5713136364643527
loss:  -0.6147759411384284
loss:  -0.6067080844629671
loss:  -0.6474735489521954
loss:  -0.582658285309734
loss:  -4.062603735104322
loss:  -4.557950126683719
loss:  -4.216212865772212
loss:  -5.0610654869918665
loss:  -4.759605366011156
loss:  -4.673258993543477
loss:  -4.663925191904225
loss:  -4.664245241328202
loss:  -6.311268152351559
loss:  -7.049732063941006
loss:  -6.905796582419439
loss:  -6.698296752929281
loss:  -6.659779552188309
loss:  -6.701233847579612
loss:  -7.539759054059421
loss:  -8.036079173372695
loss:  -7.671716439887247
loss:  -7.759657236397711
loss:  -9.240481555946442
loss:  -9.750609268572486
loss:  -10.847819255748695
loss:  -11.646990669614695
loss:  -11.110403518378462
loss:  -11.528902085439714
loss:  -11.286777759082494
loss:  -11.039347675970923
loss:  -11.66064992874907
loss:  -12.140107297222627
loss:  -11.75603606630373
loss:  -10.771454383084658
loss:  -14.135491531906741
loss:  -13.774171254287893
loss:  -14.594783474230713
loss:  -14.281657175853852
loss:  -13.996993047667093
loss:  -14.173966958460538
loss:  -14.556838256267259
loss:  -14.796845458675099
loss:  -13.591896581538407
loss:  -13.528420951979577
loss:  -13.591188199701543
loss:  -13.57412651499266
loss:  -13.544971756319523
loss:  -13.591790319876946
loss:  -13.546426723356042
loss:  -13.874571134028216
loss:  -16.958516023412546
loss:  -17.92845510233649
loss:  -18.422498082427715
loss:  -19.172539610599472
loss:  -18.90840858292925
loss:  -18.93441774287431
loss:  -18.6796479966324
loss:  -19.649215882464432
loss:  -19.624243266319105
loss:  -19.515684218763596
loss:  -19.76898824975804
loss:  -21.83087734078911
loss:  -22.321718596283976
loss:  -22.163582282924814
loss:  -22.16275181747682
loss:  -22.2068139626466
loss:  -22.0597210450998
loss:  -22.17601557265323
loss:  -21.96001666358182
loss:  -22.320591920215517
loss:  -22.062988544773074
loss:  -22.1122157362995
loss:  -23.36582553143066
loss:  -24.57981098335049
loss:  -25.629781211412542
loss:  -25.623175774647052
loss:  -25.61854259236987
loss:  -25.568243162608795
loss:  -26.68412650839978
loss:  -26.169214854501867
loss:  -27.64415870568118
loss:  -27.58461244579274
loss:  -28.14902113277643
loss:  -28.17723054793067
loss:  -27.148737444733136
loss:  -27.15853697320796
loss:  -27.195411350625328
loss:  -27.15254553929814
loss:  -30.1966005724353
loss:  -31.232072207681824
loss:  -32.18516608992628
loss:  -33.18229636433061
loss:  -34.20167198875397
loss:  -34.25429764344464
loss:  -33.33285120203882
loss:  -33.32285731869775
loss:  -33.38607266542092
loss:  -33.4260828625233
loss:  -33.31957068263156
loss:  -36.19123350394021
loss:  -36.18451558283735
loss:  -36.204562329103155
loss:  -35.281951022886204
loss:  -35.257489512701966
loss:  -35.23299903015929
loss:  -35.256656173050736
loss:  -35.31234904551674
loss:  -35.23654702752813
loss:  -35.69088144162127
loss:  -35.24400951123302
loss:  -35.33639781644764
loss:  -35.24635845852475
loss:  -35.22252510949865
loss:  -35.27019146509984
loss:  -35.26450144635977
