iter:  1000.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [4.99026751e-04 4.96201308e-05 3.81393306e-04 ... 3.86325993e-04
 1.47996759e-04 7.99939954e-04]
loss:  -1.9078154580927915
loss:  -0.6411717359127622
loss:  -0.6519061701185191
loss:  -0.6290544508263154
loss:  -0.6714900019954047
loss:  -0.6638053261959111
loss:  -0.7055339553240496
loss:  -0.6406831677958804
loss:  -4.08652947374471
loss:  -4.58337821180619
loss:  -4.258912624140027
loss:  -5.086176112803428
loss:  -4.802057428968217
loss:  -4.714473204666117
loss:  -4.70433935316184
loss:  -4.706102348694497
loss:  -6.3191113710396944
loss:  -7.074865442324771
loss:  -6.94759362888727
loss:  -6.74052557300853
loss:  -6.70152276986745
loss:  -6.743559542356492
loss:  -7.565574030138498
loss:  -8.06172207057243
loss:  -7.714550475966362
loss:  -7.802611518601213
loss:  -9.24907605718585
loss:  -9.7760264316039
loss:  -10.85622364117326
loss:  -11.67264856668531
loss:  -11.152025233604348
loss:  -11.570723083192611
loss:  -11.32943226531171
loss:  -11.081166798882766
loss:  -11.702036058373364
loss:  -12.191395159683855
loss:  -11.807023466344715
loss:  -10.838987573189993
loss:  -14.16987146419446
loss:  -13.825759704030457
loss:  -14.630368120070967
loss:  -14.334558360842642
loss:  -14.04788342050802
loss:  -14.225830205937017
loss:  -14.609429067805522
loss:  -14.847918348245514
loss:  -13.660130001833139
loss:  -13.59590763273465
loss:  -13.659401587984654
loss:  -13.640262590538295
loss:  -13.61297372186914
loss:  -13.659899422111753
loss:  -13.614470791647522
loss:  -13.942435442471496
loss:  -16.99232117333309
loss:  -17.945438342730807
loss:  -18.438767655226098
loss:  -19.20583081905693
loss:  -18.958946069634816
loss:  -18.98457040581736
loss:  -18.727091584704706
loss:  -19.68139088976594
loss:  -19.656973831222885
loss:  -19.56480322198058
loss:  -19.817758939085415
loss:  -21.86257870246889
loss:  -22.35110494900629
loss:  -22.21031777398187
loss:  -22.209478603225385
loss:  -22.253525340917783
loss:  -22.106150163641825
loss:  -22.222747928688122
loss:  -22.005624084006108
loss:  -22.366550715001353
loss:  -21.251564515243988
loss:  -21.290458003166492
loss:  -23.41272297883908
loss:  -25.52608499487652
loss:  -25.702853529736597
loss:  -24.998792185606867
loss:  -24.729607854423726
loss:  -24.698055615505844
loss:  -27.699773881252902
loss:  -27.194669725741022
loss:  -27.699230720034056
loss:  -27.68817177632429
loss:  -28.20163309203907
loss:  -28.236953725264737
loss:  -27.265700155944387
loss:  -27.292079841943796
loss:  -27.35596634188422
loss:  -27.253651736978867
loss:  -30.21749722189337
loss:  -31.18260763651566
loss:  -32.14976961747438
loss:  -33.093934300390515
loss:  -34.20459790751169
loss:  -34.274539721646356
loss:  -33.427190009746596
loss:  -33.41403329817592
loss:  -33.50068665450474
loss:  -33.551727702004136
loss:  -33.40827842163112
loss:  -36.187400963599764
loss:  -36.275490383308025
loss:  -35.395206768205284
loss:  -35.38320867948982
loss:  -35.432270855788815
loss:  -35.41893920865479
loss:  -35.4445529938195
loss:  -35.45459844355422
loss:  -35.40762418343631
loss:  -35.77171685044892
loss:  -35.38356145761611
loss:  -35.47875160221359
loss:  -35.43042506849493
loss:  -35.39045216845608
loss:  -35.443815550298226
loss:  -35.39590693345092
loss:  -35.40884058780162
loss:  -35.40301048297746
loss:  -35.39403715618386
loss:  -35.376224042659196
loss:  -38.05189069405325
loss:  -37.9865589731499
loss:  -38.125815249525346
loss:  -37.313723665989556
loss:  -37.24943123474037
loss:  -37.299273559448096
loss:  -37.876130320373264
loss:  -37.359955768693176
loss:  -37.326020144735004
loss:  -37.31703123482193
loss:  -37.20293776328628
loss:  -37.38755503611575
loss:  -38.04734365409642
loss:  -37.23984367154863
loss:  -37.76993011047129
loss:  -38.027064171593146
loss:  -37.282890553202606
loss:  -37.326096917003724
loss:  -40.023856494665175
loss:  -40.189946259679935
loss:  -39.33826215763203
loss:  -39.65149647139966
loss:  -39.32930999840106
loss:  -39.30561573707717
loss:  -39.37957706614486
loss:  -39.3928250827923
loss:  -39.370008468805025
loss:  -39.26119075283083
loss:  -42.025192474430085
loss:  -42.19499620613976
loss:  -41.3038263759531
loss:  -43.993640295234975
loss:  -44.10716960232481
loss:  -43.57553142009529
loss:  -43.5156114246193
loss:  -43.41194924919749
loss:  -43.508580918035456
loss:  -43.50312397940125
loss:  -43.354595940493425
loss:  -43.26028604355733
loss:  -43.45587543933013
loss:  -43.40332311170435
loss:  -43.35009430580462
loss:  -43.34542087370498
loss:  -44.58269602326246
loss:  -43.87956069625305
loss:  -43.964175836079576
loss:  -43.859503208566075
loss:  -43.81491959176998
loss:  -43.93084701859105
loss:  -43.77969046357022
loss:  -46.3014239779505
loss:  -46.56881484915114
loss:  -48.15628927622327
loss:  -48.41018191434526
loss:  -47.656046456826815
loss:  -50.17717198807257
loss:  -50.41132957543749
loss:  -49.50449195653406
loss:  -49.65624068913607
loss:  -49.60861550332857
loss:  -49.49691378092942
loss:  -49.56367006722468
loss:  -49.62379331284662
loss:  -49.65360009796507
loss:  -52.17019677920697
loss:  -52.2549074672701
loss:  -51.477689535428475
loss:  -51.44247698913428
loss:  -51.45847621061867
loss:  -51.73399112557729
loss:  -51.26379823099033
loss:  -53.96240768025413
loss:  -54.1706430147647
loss:  -55.152924143264464
loss:  -54.44879610749385
loss:  -54.26798165043121
loss:  -54.24671952744816
loss:  -54.52896779836446
loss:  -54.252696854339966
loss:  -54.301477944277664
loss:  -54.036925095186874
loss:  -56.880072908752865
loss:  -56.68446881672443
loss:  -57.08291947495102
